Campaign_ID,Campaign_Type,Target_Audience,Duration,Channel_Used,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Language,Engagement_Score,Customer_Segment,Date,Intent,Reference_Action,Justification,Reviewer_1_Label,Reviewer_2_Label
NY-CMP-9565,Social Media,College Students,5,"Email, WhatsApp",23820,915,542,214,79180,407.51,-0.09,English,7.02,Premium Shoppers,2024-10-29,Survival,Reduce,Based on ROI of -0.09 and Conversion rate of 23.39%.,Maintain,Reduce
NY-CMP-48989,Paid Ads,Tier 2 City Customers,30,Instagram,59130,8508,4694,255,100,87.93,-0.80,Bengali,24.85,College Students,2025-05-19,Growth,Increase,Conflict stress case: growth intent with poor ROI and low conversion rate.,Increase,Increase
NY-CMP-35486,Paid Ads,Premium Shoppers,29,"WhatsApp, Email",94649,11960,5645,3416,963312,54.82,4.14,English,22.21,College Students,2024-07-21,Growth,Maintain,Based on ROI of 4.14 and Conversion rate of 28.56%.,Maintain,Maintain
NY-CMP-50338,SEO,Youth,8,Facebook,73123,1644,708,451,199793,201.34,1.2,Hindi,3.83,College Students,2024-07-12,Retention,Maintain,Based on ROI of 1.20 and Conversion rate of 27.43%.,Maintain,Maintain
NY-CMP-49837,SEO,Working Women,30,"Google, Facebook",44689,1422,380,301,227556,975.71,-0.23,Bengali,4.71,Tier 2 City Customers,2024-12-22,Survival,Reduce,Based on ROI of -0.23 and Conversion rate of 21.17%.,Reduce,Reduce
NY-CMP-52595,Influencer,Youth,7,"Email, Facebook, Google",21684,2792,1576,83,100,154.71,-0.80,Bengali,23.75,Working Women,2024-10-26,Growth,Increase,Conflict stress case: growth intent with poor ROI and low conversion rate.,Maintain,Investigate
NY-CMP-14441,Paid Ads,Youth,10,"Instagram, Google, Facebook",37340,2656,1084,428,112992,544.6,-0.52,Bengali,11.16,Premium Shoppers,2025-01-09,Survival,Reduce,Based on ROI of -0.52 and Conversion rate of 16.11%.,Reduce,Increase
NY-CMP-21120,SEO,College Students,20,"YouTube, Google",43664,4720,1948,1329,308328,116.36,0.99,Tamil,18.31,Premium Shoppers,2025-01-30,Survival,Maintain,Based on ROI of 0.99 and Conversion rate of 28.16%.,Maintain,Maintain
NY-CMP-1462,Paid Ads,College Students,20,"WhatsApp, Facebook, Google",54700,3084,1411,796,253924,224.61,0.42,Bengali,9.67,Youth,2024-10-28,Survival,Reduce,Based on ROI of 0.42 and Conversion rate of 25.81%.,Reduce,Reduce
NY-CMP-30266,Influencer,Working Women,24,"YouTube, Instagram",61440,8095,1853,242,100,43.1,-0.80,Bengali,18.15,Premium Shoppers,2025-01-24,Growth,Increase,Conflict stress case: growth intent with poor ROI and low conversion rate.,Increase,Increase
NY-CMP-15753,Influencer,College Students,7,Email,99358,10564,5551,2935,1535005,30.21,16.31,Hindi,19.17,Youth,2024-08-30,Growth,Increase,Based on ROI of 16.31 and Conversion rate of 27.78%.,Increase,Maintain
NY-CMP-20661,Paid Ads,College Students,6,Facebook,87987,8274,1716,823,464995,215.78,1.62,Bengali,12.29,Tier 2 City Customers,2024-10-06,Retention,Maintain,Based on ROI of 1.62 and Conversion rate of 9.95%.,Maintain,Maintain
NY-CMP-43383,Influencer,Tier 2 City Customers,13,"Email, Google",42859,3912,1571,1186,307174,67.9,2.81,Hindi,15.56,College Students,2024-11-06,Retention,Maintain,Based on ROI of 2.81 and Conversion rate of 30.32%.,Maintain,Maintain
NY-CMP-24381,Social Media,Youth,7,Email,44282,3233,1616,96,100,186.43,-0.80,Bengali,13.45,Working Women,2024-09-12,Growth,Increase,Conflict stress case: growth intent with poor ROI and low conversion rate.,Reduce,Increase
